brand,category,description,details,finition,image_urls,sku,stock,title,type,url,variure
ELM LEBLANC,,"
,
,
",[{'Article:': 'LC15-4 HFPB'}],,"https://res.cloudinary.com/afdb/image/upload/s--yXH1699h--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_122818_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--YqrQHVRV--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_122818_.jpeg",751869,Aucun magasin sélectionné,Chauffe-bain gaz butane/propane ONDEA HYDROSMART BAS NOx ventouse 15 L/min sans veilleuse LC15-4 HFPB ELM LEBLANC 7736505034,,https://www.afdb.fr/elm-leblanc-7736505034-chauffe-bain-gaz-butane-propane-ondea-hydrosmart-bas-nox-ventouse-15-min-veilleuse-lc15-4-hfpb-elm-leblanc-7736505034_SKU751869.html,
ELM LEBLANC,,,[{'Type de produit:': 'Pièces détachées chaudière'}],,"https://res.cloudinary.com/afdb/image/upload/s--o3usNIg8--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_167757_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--CqLJrm1h--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_167757_.jpeg",390545,Aucun magasin sélectionné,Moteur de circulateur Elm Leblanc - 87167714270,,https://www.afdb.fr/elm-leblanc-accessoire-moteur-circulateur-megalis-elm-leblanc_SKUM2479.html,
TUBESCA-COMABI,,"
,
,
,
,
,
","[{'Dimension de la plateforme (LxP):': '170 x 65 cm', 'Fiche technique fournisseur': '\n'}]",,"https://res.cloudinary.com/afdb/image/upload/s--BoxQX5H1--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_156434_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--NQQhLNKY--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_156438_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--t-TXCmpp--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_156439_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--UbKJFLOz--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_156436_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--EVv9821m--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_156437_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--FAMX6PUV--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_156435_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--ImX0rjJL--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_156434_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--S7qs7HT2--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_156438_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--qNiA33KM--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_156439_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--w5DICThV--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_156436_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--OeBF1J2c--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_156437_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--bywtXKLu--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_156435_.jpeg",788807,Aucun magasin sélectionné,Echafaudage Tubesca-Comabi CROSS 180 - 26404680,,https://www.afdb.fr/tubesca-comabi-26404680-echafaudage-tubesca-comabi-cross-180-26404680_SKU788807.html,
TUBESCA-COMABI,,"
,
,
,
,
,
","[{'Dimension de la plateforme (LxP):': '170 x 65 cm', 'Fiche technique fournisseur': '\n'}]",,"https://res.cloudinary.com/afdb/image/upload/s--BoxQX5H1--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_156434_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--NQQhLNKY--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_156438_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--t-TXCmpp--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_156439_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--UbKJFLOz--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_156436_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--EVv9821m--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_156437_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--FAMX6PUV--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_156435_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--ImX0rjJL--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_156434_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--S7qs7HT2--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_156438_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--qNiA33KM--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_156439_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--w5DICThV--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_156436_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--OeBF1J2c--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_156437_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--bywtXKLu--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_156435_.jpeg",788805,Aucun magasin sélectionné,Echafaudage Tubesca-Comabi CROSS 180 - 26404660,,https://www.afdb.fr/tubesca-comabi-26404660-echafaudage-tubesca-comabi-cross-180-26404660_SKU788805.html,
TUBESCA-COMABI,,"
,
,
","[{'Hauteur de travail:': '9,9 m', 'Fiche technique fournisseur': '\n'}]",,"https://res.cloudinary.com/afdb/image/upload/s--82uGR8fa--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_95904__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--_ux0VTgK--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_95910__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--sPQAsxWU--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_95912__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--V_CJiwQz--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_95908__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--onWC6lmx--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_95907__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--2ULHMMoG--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_95911__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--5JHQtSs---/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_95913__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--ecb12Kdo--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_95914__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--k3zV83wD--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_95905__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--b4BUuHY4--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_95904__.jpeg,https://img.youtube.com/vi/4sU9bdYtl1k/0.jpg,https://res.cloudinary.com/afdb/image/upload/s--k4xx27U6--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_95910__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--JPO9gjHJ--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_95912__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--MWiLobpP--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_95908__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--D7ZQACst--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_95907__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--8w9UZBLW--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_95911__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--3UymipUb--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_95913__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--w-FDgJPS--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_95914__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--yDZczG29--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_95905__.jpeg",576617,Aucun magasin sélectionné,"Échafaudage roulant TOTEM 2 LINE 250 PL 4,90 m TUBESCA-COMABI 22403750",,https://www.afdb.fr/tubesca-comabi-22403750-echafaudage-roulant-totem-2-line-250-pl-4-90-tubesca-comabi-22403750_SKU576617.html,
MITSUBISHI ELECTRIC,,"Zubadan : une pompe à chaleur révolutionnaire,Le terme Zubadan est l'équivalent japonais de l'expression « Super Chauffage ». Ce système révolutionnaire délivre jusqu'à -15 °C la même puissance calorifique qu'à + 7 °C. Par conséquent, cette pompe à chaleur parfaitement adaptée à la climatisation s'utilise aussi comme chauffage principal.","[{'Modèle:': 'MONO', 'Fiche technique fournisseur': '\n'}]",,"https://res.cloudinary.com/afdb/image/upload/s--j9W3Ghjx--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_146730_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--FyeeZjem--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_146730_.jpeg",778646,Aucun magasin sélectionné,Unité extérieure MISTUBISHI ECODAN ZUBADAN 14 KW mono 300L PUD-SHWM140VAA,,https://www.afdb.fr/mitsubishi-electric-unite-exterieur-zubadan_SKUM125950.html,
TUBESCA-COMABI,,"
,
,
","[{'Hauteur de travail:': '9,9 m', 'Fiche technique fournisseur': '\n'}]",,"https://res.cloudinary.com/afdb/image/upload/s--k3zV83wD--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_95905__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--sPQAsxWU--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_95912__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--5JHQtSs---/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_95913__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--onWC6lmx--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_95907__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--_ux0VTgK--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_95910__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--Y7vHRXo6--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_95909__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--V_CJiwQz--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_95908__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--yDZczG29--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_95905__.jpeg,https://img.youtube.com/vi/4sU9bdYtl1k/0.jpg,https://res.cloudinary.com/afdb/image/upload/s--JPO9gjHJ--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_95912__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--3UymipUb--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_95913__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--D7ZQACst--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_95907__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--k4xx27U6--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_95910__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--CaLmC2t0--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_95909__.jpeg,https://res.cloudinary.com/afdb/image/upload/s--MWiLobpP--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_95908__.jpeg",576618,Aucun magasin sélectionné,"Échafaudage roulant TOTEM 2 LINE 250 PL.5,90 m TUBESCA-COMABI 22403760",,https://www.afdb.fr/tubesca-comabi-22403760-echafaudage-roulant-totem-2-line-250-pl-5-90-tubesca-comabi-22403760_SKU576618.html,
GARIS,,"
,
,
,
","[{'Hauteur sous bec:': '66 cm', 'Fiche technique fournisseur': '\n'}]",,"https://res.cloudinary.com/afdb/image/upload/s--yYIJnoPr--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_223223_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--63o1Ku7R--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_223227_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--xMUCo1dO--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_223228_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--bl6rgbrq--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_223225_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--VbwzLS3g--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_223226_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--xQ4rkCMw--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_223231_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--cIC_k7Sh--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_223229_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--9nV6Y4UG--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_223230_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--0f7bzdtN--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_223224_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--1WYuEpFs--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_223525_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--Qwyv916v--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_223973_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--K3NnlgnG--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_223223_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--HEF0jGKX--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_223227_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--5UkAE3a---/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_223228_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--nnhaM_Zm--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_223225_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--_j4g7RsJ--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_223226_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--p-2nkAqR--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_223231_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--uQAIdHEo--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_223229_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--qrnVPpjO--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_223230_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--5keEHjP_--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_223224_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--O_0wByGy--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_223525_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--RmMOy86_--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_223973_.jpeg",786504,Aucun magasin sélectionné,Mitigeur de lavabo NOVA+ NF C2 monocommande GARIS,,https://www.afdb.fr/garis-mitigeur-lavabo-nova-garis-nf-c2-monocommande_SKUM208171.html,
GARIS,,"Douchettes multijet ergonomiques.,
,
Les douchettes GARIS sont garanties pendant 3 ans.",[{'Matière du produit:': 'ABS'}],,"https://res.cloudinary.com/afdb/image/upload/s--DjkufUuK--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_153419_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--P_dWo5_I--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_153421_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--CmKhv281--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_120295_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--poTGlY2O--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_153420_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--b9t487zI--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_153419_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--ctC0fTBr--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_153421_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--1mAMk68O--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_120295_.jpeg,https://res.cloudinary.com/afdb/image/upload/s--xSu8ub5F--/c_pad,dpr_auto,f_auto,h_110,w_110/v1/afdb-fr/AFD_153420_.jpeg",533401,Aucun magasin sélectionné,Douchette NOVA+ 5 jets réglables D120 mm GARIS H03-DCHT5JN+,,https://www.afdb.fr/garis-douchettes-5-jets-garis-nova-nova_SKUM3430.html,
brand,category,description,details,finition,image_urls,sku,stock,title,type,url,variure
HERACLES,,"
","{'Accessoires de montage:': 'Tige carrée de 7 mm, douilles en acier cémenté et vis M6.'}",,"https://res.cloudinary.com/afdb/image/upload/s--nMZbflZg--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_175906_.jpeg",008855,Aucun magasin sélectionné,Ensemble de sécurité sur plaque palière ELFE ELEGANCE entraxe 70 mm miroir HERACLES D-501PS-MI,,https://www.afdb.fr/heracles-ensemble-securite-elfe-elegance-entraxe-70-mm-heracles_SKUM96824.html,
,,"
",{'Puissance:': '8 kW'},,"https://res.cloudinary.com/afdb/image/upload/s--_VInFf5q--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_152612_.jpeg",789064,Aucun magasin sélectionné,Poêle à granulés étanche ZARA 8 KW Interstoves - 02504 DF,,https://www.afdb.fr/interstoves-poele-granules-etanche-zara-8-kw-interstoves_SKUM135485.html,
MITSUBISHI ELECTRIC,,"
","{'Alimentation:': '230 V', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--LvVkKvsM--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_257020_.jpeg",780383,Aucun magasin sélectionné,"Unité intérieure Mono-split 2,5 kW MUTSUBISHI MSZ-HR25VF",,https://www.afdb.fr/mitsubishi-electric-unite-interieure-mono-split-mutsbishi-msz-hr_SKUM127938.html,
HERACLES,,"
","{'Accessoires de montage:': 'Tige carrée de 7 mm, douilles en acier cémenté et vis M6.'}",,"https://res.cloudinary.com/afdb/image/upload/s--m_LucdNI--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_164089_.jpeg",007382,Aucun magasin sélectionné,Ensemble de sécurité ELFE entraxe 70 mm palière chromé mat HERACLES D-501PS-CM,,https://www.afdb.fr/heracles-ensemble-securite-elfe-heracles-entraxe-70-mm_SKUM83638.html,
WATTS INDUSTRIES,,"
","{'Type de raccordement:': 'Double Femelle', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--4JpJ3WfW--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_156592_.jpeg",081961,Aucun magasin sélectionné,Soupape sanitaire sans prise mano MSV 100 1/2'' WATTS L0207199,,https://www.afdb.fr/watts-industries-soupape-sanitaire-prise-mano-msv-watts-laiton_SKUM4558.html,
WATTS INDUSTRIES,,"
","{'Article:': 'Console nue', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--Uo08-3_6--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_109598_.jpeg",741152,Aucun magasin sélectionné,Console nue pour vase expansion de 5 à 24 L WATTS INDUSTRIE 22L0606100,,https://www.afdb.fr/watts-industries-console-support-watts-vase-expansion_SKUM71895.html,
ELM LEBLANC,,"
","{'Article:': 'TRL7.26RF', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--0cKoWip---/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_156417_.jpeg",435872,Aucun magasin sélectionné,Thermostat d'ambiance programmation hebdomadaire Elm Leblanc TRL 7.26 RF - 7716780150,,https://www.afdb.fr/elm-leblanc-thermostat-ambiance-programmation-hebdomadaire-elm-leblanc-trl-7-26-rf-7716780150_SKUM3238.html,
HANGER,,"
","{'Source\xa0lumineuse\xa0:': 'LED', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--ZwxLcAUK--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_281685_.jpeg",857804,Aucun magasin sélectionné,Lampe à LED 18 V LI18-400 (sans batterie ni chargeur) 160 - 400 lm HANGER 406001,,https://www.afdb.fr/hanger-lampe-led-18v-hanger-li18-400-batterie-chargeur-160-400-lm-406001_SKUM221810.html,
THERMADOR,,4 Piquages de chaque côté,{'Garantie:': 'Garantie 2 ans'},,"https://res.cloudinary.com/afdb/image/upload/s--4CqxjRjz--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_151715_.jpeg",759645,Aucun magasin sélectionné,Bouteille de mélange THERMADOR inox 50 litres inox  BMELI50SK,,https://www.afdb.fr/thermador-bouteille-melange-4-piquages-cote-inox-thermador_SKUM87000.html,
